,hand,trial_dur,iti_dur,run_number,phase_type,phase,display_trial_feedback,feedback_dur,feedback_type,chunk,recall_dir,seq_chunked
0,right,6,1,3,0,enc,False,0.0,None,3,0,143 442
1,right,None,1,3,1,ret,True,0.5,acc,3,0,*** ***
2,right,6,1,3,0,enc,False,0.0,None,2,1,32 32 33
3,right,None,1,3,1,ret,True,0.5,acc,2,1,** ** **
4,right,6,1,3,0,enc,False,0.0,None,3,1,441 313
5,right,None,1,3,1,ret,True,0.5,acc,3,1,*** ***
6,right,6,1,3,0,enc,False,0.0,None,3,1,421 211
7,right,None,1,3,1,ret,True,0.5,acc,3,1,*** ***
8,right,6,1,3,0,enc,False,0.0,None,2,1,41 32 23
9,right,None,1,3,1,ret,True,0.5,acc,2,1,** ** **
10,right,6,1,3,0,enc,False,0.0,None,2,0,33 24 31
11,right,None,1,3,1,ret,True,0.5,acc,2,0,** ** **
12,right,6,1,3,0,enc,False,0.0,None,2,1,41 43 13
13,right,None,1,3,1,ret,True,0.5,acc,2,1,** ** **
14,right,6,1,3,0,enc,False,0.0,None,3,0,143 313
15,right,None,1,3,1,ret,True,0.5,acc,3,0,*** ***
16,right,6,1,3,0,enc,False,0.0,None,2,0,43 41 41
17,right,None,1,3,1,ret,True,0.5,acc,2,0,** ** **
18,right,6,1,3,0,enc,False,0.0,None,2,0,31 42 33
19,right,None,1,3,1,ret,True,0.5,acc,2,0,** ** **
20,right,6,1,3,0,enc,False,0.0,None,3,0,211 221
21,right,None,1,3,1,ret,True,0.5,acc,3,0,*** ***
22,right,6,1,3,0,enc,False,0.0,None,2,1,21 24 43
23,right,None,1,3,1,ret,True,0.5,acc,2,1,** ** **
24,right,6,1,3,0,enc,False,0.0,None,3,0,424 424
25,right,None,1,3,1,ret,True,0.5,acc,3,0,*** ***
26,right,6,1,3,0,enc,False,0.0,None,2,0,43 31 24
27,right,None,1,3,1,ret,True,0.5,acc,2,0,** ** **
28,right,6,1,3,0,enc,False,0.0,None,3,1,341 111
29,right,None,1,3,1,ret,True,0.5,acc,3,1,*** ***
30,right,6,1,3,0,enc,False,0.0,None,2,0,32 12 44
31,right,None,1,3,1,ret,True,0.5,acc,2,0,** ** **
32,right,6,1,3,0,enc,False,0.0,None,2,1,23 33 44
33,right,None,1,3,1,ret,True,0.5,acc,2,1,** ** **
34,right,6,1,3,0,enc,False,0.0,None,3,1,232 211
35,right,None,1,3,1,ret,True,0.5,acc,3,1,*** ***
36,right,6,1,3,0,enc,False,0.0,None,3,1,413 334
37,right,None,1,3,1,ret,True,0.5,acc,3,1,*** ***
38,right,6,1,3,0,enc,False,0.0,None,3,0,331 131
39,right,None,1,3,1,ret,True,0.5,acc,3,0,*** ***
