,hand,trial_dur,iti_dur,run_number,phase_type,phase,display_trial_feedback,feedback_dur,feedback_type,chunk,recall_dir,seq_chunked
0,right,6,1,7,0,enc,False,0.0,None,3,0,234 234
1,right,None,1,7,1,ret,True,0.5,acc,3,0,*** ***
2,right,6,1,7,0,enc,False,0.0,None,3,1,233 121
3,right,None,1,7,1,ret,True,0.5,acc,3,1,*** ***
4,right,6,1,7,0,enc,False,0.0,None,2,1,21 14 13
5,right,None,1,7,1,ret,True,0.5,acc,2,1,** ** **
6,right,6,1,7,0,enc,False,0.0,None,3,0,221 314
7,right,None,1,7,1,ret,True,0.5,acc,3,0,*** ***
8,right,6,1,7,0,enc,False,0.0,None,2,1,34 33 34
9,right,None,1,7,1,ret,True,0.5,acc,2,1,** ** **
10,right,6,1,7,0,enc,False,0.0,None,3,1,211 314
11,right,None,1,7,1,ret,True,0.5,acc,3,1,*** ***
12,right,6,1,7,0,enc,False,0.0,None,2,0,24 33 24
13,right,None,1,7,1,ret,True,0.5,acc,2,0,** ** **
14,right,6,1,7,0,enc,False,0.0,None,2,0,43 43 42
15,right,None,1,7,1,ret,True,0.5,acc,2,0,** ** **
16,right,6,1,7,0,enc,False,0.0,None,3,0,411 241
17,right,None,1,7,1,ret,True,0.5,acc,3,0,*** ***
18,right,6,1,7,0,enc,False,0.0,None,2,1,43 34 14
19,right,None,1,7,1,ret,True,0.5,acc,2,1,** ** **
20,right,6,1,7,0,enc,False,0.0,None,3,1,341 324
21,right,None,1,7,1,ret,True,0.5,acc,3,1,*** ***
22,right,6,1,7,0,enc,False,0.0,None,2,0,42 43 13
23,right,None,1,7,1,ret,True,0.5,acc,2,0,** ** **
24,right,6,1,7,0,enc,False,0.0,None,3,0,441 341
25,right,None,1,7,1,ret,True,0.5,acc,3,0,*** ***
26,right,6,1,7,0,enc,False,0.0,None,2,1,42 21 22
27,right,None,1,7,1,ret,True,0.5,acc,2,1,** ** **
28,right,6,1,7,0,enc,False,0.0,None,3,1,434 333
29,right,None,1,7,1,ret,True,0.5,acc,3,1,*** ***
30,right,6,1,7,0,enc,False,0.0,None,3,0,343 421
31,right,None,1,7,1,ret,True,0.5,acc,3,0,*** ***
32,right,6,1,7,0,enc,False,0.0,None,2,0,42 43 22
33,right,None,1,7,1,ret,True,0.5,acc,2,0,** ** **
34,right,6,1,7,0,enc,False,0.0,None,2,1,31 32 42
35,right,None,1,7,1,ret,True,0.5,acc,2,1,** ** **
36,right,6,1,7,0,enc,False,0.0,None,3,1,331 214
37,right,None,1,7,1,ret,True,0.5,acc,3,1,*** ***
38,right,6,1,7,0,enc,False,0.0,None,2,0,31 43 11
39,right,None,1,7,1,ret,True,0.5,acc,2,0,** ** **
