,hand,trial_dur,iti_dur,run_number,phase_type,phase,display_trial_feedback,feedback_dur,feedback_type,chunk,recall_dir,seq_chunked
0,right,6,1,8,0,enc,False,0.0,None,2,0,22 41 12
1,right,None,1,8,1,ret,True,0.5,acc,2,0,** ** **
2,right,6,1,8,0,enc,False,0.0,None,2,0,41 23 31
3,right,None,1,8,1,ret,True,0.5,acc,2,0,** ** **
4,right,6,1,8,0,enc,False,0.0,None,2,0,32 13 14
5,right,None,1,8,1,ret,True,0.5,acc,2,0,** ** **
6,right,6,1,8,0,enc,False,0.0,None,3,0,444 212
7,right,None,1,8,1,ret,True,0.5,acc,3,0,*** ***
8,right,6,1,8,0,enc,False,0.0,None,2,1,11 23 14
9,right,None,1,8,1,ret,True,0.5,acc,2,1,** ** **
10,right,6,1,8,0,enc,False,0.0,None,3,0,314 122
11,right,None,1,8,1,ret,True,0.5,acc,3,0,*** ***
12,right,6,1,8,0,enc,False,0.0,None,2,1,32 33 32
13,right,None,1,8,1,ret,True,0.5,acc,2,1,** ** **
14,right,6,1,8,0,enc,False,0.0,None,3,0,223 214
15,right,None,1,8,1,ret,True,0.5,acc,3,0,*** ***
16,right,6,1,8,0,enc,False,0.0,None,3,1,211 434
17,right,None,1,8,1,ret,True,0.5,acc,3,1,*** ***
18,right,6,1,8,0,enc,False,0.0,None,3,1,421 341
19,right,None,1,8,1,ret,True,0.5,acc,3,1,*** ***
20,right,6,1,8,0,enc,False,0.0,None,2,1,14 34 31
21,right,None,1,8,1,ret,True,0.5,acc,2,1,** ** **
22,right,6,1,8,0,enc,False,0.0,None,3,1,224 222
23,right,None,1,8,1,ret,True,0.5,acc,3,1,*** ***
24,right,6,1,8,0,enc,False,0.0,None,2,0,41 23 44
25,right,None,1,8,1,ret,True,0.5,acc,2,0,** ** **
26,right,6,1,8,0,enc,False,0.0,None,2,0,42 31 44
27,right,None,1,8,1,ret,True,0.5,acc,2,0,** ** **
28,right,6,1,8,0,enc,False,0.0,None,3,0,443 444
29,right,None,1,8,1,ret,True,0.5,acc,3,0,*** ***
30,right,6,1,8,0,enc,False,0.0,None,2,1,23 42 11
31,right,None,1,8,1,ret,True,0.5,acc,2,1,** ** **
32,right,6,1,8,0,enc,False,0.0,None,3,1,144 222
33,right,None,1,8,1,ret,True,0.5,acc,3,1,*** ***
34,right,6,1,8,0,enc,False,0.0,None,3,1,421 242
35,right,None,1,8,1,ret,True,0.5,acc,3,1,*** ***
36,right,6,1,8,0,enc,False,0.0,None,2,1,43 44 13
37,right,None,1,8,1,ret,True,0.5,acc,2,1,** ** **
38,right,6,1,8,0,enc,False,0.0,None,3,0,232 114
39,right,None,1,8,1,ret,True,0.5,acc,3,0,*** ***
