,hand,trial_dur,iti_dur,run_number,phase_type,phase,display_trial_feedback,feedback_dur,feedback_type,chunk,recall_dir,seq_chunked
0,right,6,1,1,0,enc,False,0.0,None,3,1,142 432
1,right,None,1,1,1,ret,True,0.5,acc,3,1,*** ***
2,right,6,1,1,0,enc,False,0.0,None,3,0,224 244
3,right,None,1,1,1,ret,True,0.5,acc,3,0,*** ***
4,right,6,1,1,0,enc,False,0.0,None,2,1,41 11 23
5,right,None,1,1,1,ret,True,0.5,acc,2,1,** ** **
6,right,6,1,1,0,enc,False,0.0,None,2,1,24 13 21
7,right,None,1,1,1,ret,True,0.5,acc,2,1,** ** **
8,right,6,1,1,0,enc,False,0.0,None,2,0,14 14 23
9,right,None,1,1,1,ret,True,0.5,acc,2,0,** ** **
10,right,6,1,1,0,enc,False,0.0,None,3,0,221 133
11,right,None,1,1,1,ret,True,0.5,acc,3,0,*** ***
12,right,6,1,1,0,enc,False,0.0,None,2,1,22 13 22
13,right,None,1,1,1,ret,True,0.5,acc,2,1,** ** **
14,right,6,1,1,0,enc,False,0.0,None,3,0,112 123
15,right,None,1,1,1,ret,True,0.5,acc,3,0,*** ***
16,right,6,1,1,0,enc,False,0.0,None,2,0,21 14 14
17,right,None,1,1,1,ret,True,0.5,acc,2,0,** ** **
18,right,6,1,1,0,enc,False,0.0,None,2,0,32 42 21
19,right,None,1,1,1,ret,True,0.5,acc,2,0,** ** **
20,right,6,1,1,0,enc,False,0.0,None,2,1,21 34 23
21,right,None,1,1,1,ret,True,0.5,acc,2,1,** ** **
22,right,6,1,1,0,enc,False,0.0,None,2,0,44 43 22
23,right,None,1,1,1,ret,True,0.5,acc,2,0,** ** **
24,right,6,1,1,0,enc,False,0.0,None,3,0,224 442
25,right,None,1,1,1,ret,True,0.5,acc,3,0,*** ***
26,right,6,1,1,0,enc,False,0.0,None,2,1,32 31 32
27,right,None,1,1,1,ret,True,0.5,acc,2,1,** ** **
28,right,6,1,1,0,enc,False,0.0,None,3,1,113 141
29,right,None,1,1,1,ret,True,0.5,acc,3,1,*** ***
30,right,6,1,1,0,enc,False,0.0,None,2,0,44 33 34
31,right,None,1,1,1,ret,True,0.5,acc,2,0,** ** **
32,right,6,1,1,0,enc,False,0.0,None,3,1,222 122
33,right,None,1,1,1,ret,True,0.5,acc,3,1,*** ***
34,right,6,1,1,0,enc,False,0.0,None,3,0,224 143
35,right,None,1,1,1,ret,True,0.5,acc,3,0,*** ***
36,right,6,1,1,0,enc,False,0.0,None,3,1,411 124
37,right,None,1,1,1,ret,True,0.5,acc,3,1,*** ***
38,right,6,1,1,0,enc,False,0.0,None,3,1,233 411
39,right,None,1,1,1,ret,True,0.5,acc,3,1,*** ***
